,trackName,artistName,id
0,New Apartment,Ari Lennox,587qpoPHuXkSRSykLM4EBp
0,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,2aIdVb8v9KTpEZnftkz2mD
0,Dearly Departed (feat. Esmé Patterson),Shakey Graves,0ewrI06EIDMGXvgJxuyF3U
0,"break up with your girlfriend, i'm bored",Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS
0,RPG (feat. 6lack),Kehlani,1EGrDTfEuAiRzRdxlblpET
0,Let You Know,Flume,7p0tz5SeCrSxTLSvwR8W3D
0,Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),Dreamville,2DjLLLV2r88a8TO0hVTVrS
0,R.I.P. SCREW,Travis Scott,4SZepBIPDRwPaHIjAKwRDb
0,Free Lunch,Isaiah Rashad,5FX89IUKm9QJT9ymrmyK4k
0,Cum on Feel the Noize,Quiet Riot,6FBmHx1FuaSnTnnnaThgbF
0,Innocence (feat AlunaGeorge),Flume,20f6vZvxvbAQ0K8IhwdURS
0,Ecstasy (feat. Machine Gun Kelly),Young Thug,1yBbxDXEfr8boXM1ubvBHi
0,Automatic,Miranda Lambert,0B0y2FImat9j9MJTNRZWfW
0,After Hours,The Weeknd,4ejyZ4uJEXUURcgKp1kP8v
0,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,2v5JTeM6hSmi5wWy7jiwrI
0,Money Trees,Kendrick Lamar,2HbKqm4o0w5wEeEFXm2sD4
0,Money In The Grave (Drake ft. Rick Ross),Drake,5ry2OE6R2zPQFDO85XkgRb
0,Sky Walker (feat. Travis Scott),Miguel,5WoaF1B5XIEnWfmb5NZikf
0,10 Freaky Girls (with 21 Savage),Metro Boomin,0AluA5RNsa4Cx6XRhf2hWZ
0,Notorious Thugs - 2014 Remaster,The Notorious B.I.G.,19FsxX4RthRMZGfXkImdCb
0,Hot (feat. Gunna),Young Thug,5Z8HZM6iQMhhqyPcCGY5g9
0,Hookers,Tierra Whack,4kTkoT7mNXTJ21WwFTIDxA
0,Glitter,BENEE,23TPP1eeElFfvYVznskwCY
0,Wasteland,10 Years,3pO37BXsjMC2wApALxGbuB
0,Slippery (feat. Gucci Mane),Migos,6p8NuHm8uCGnn2Dtbtf7zE
0,Kelly Price (feat. Travis Scott),Migos,204U3zjm9kkzX25Pr4Rdld
0,SKELETONS,Travis Scott,6NMtzpDQBTOfJwMzgMX0zl
0,Jumping Off the Moon,Mac Ayres,5feRp0hymeACBAgBdBSTcp
0,Hasta Luego - Bonus,JID,2Zyk0on2N9vZyHueREwoJC
0,can't leave without it,21 Savage,0hPLZrnDgtKxrym1BHjDhd
0,Acid Dreams,MAX,3XEdqQtGHAM5huMrs3RaKN
0,Garden Shed (feat. Estelle),"Tyler, The Creator",6ACiYjq5Q7e6BlhZEHz7cd
0,SAN MARCOS,BROCKHAMPTON,1Bn8jBSmtSQdvAFXU3ok1w
0,Mindfucker,Sheck Wes,3Ahh4FUw5EfmjMzOBjjnwY
0,Faucet Failure,Ski Mask The Slump God,1ThmUihH9dF8EV08ku5AXN
0,Gloria,The Lumineers,5BkGp7FLUUpKgWl29jBK0J
0,Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD
0,Z4L (with Bari & Jay2),Smino,3X6YJcqTinaNraRvojF62K
