trackName,artistName,explicit,popularity,id
Slippery (feat. Gucci Mane),Migos,1,73,6p8NuHm8uCGnn2Dtbtf7zE
Kelly Price (feat. Travis Scott),Migos,1,65,204U3zjm9kkzX25Pr4Rdld
SKELETONS,Travis Scott,1,69,6NMtzpDQBTOfJwMzgMX0zl
Jumping Off the Moon,Mac Ayres,0,50,5feRp0hymeACBAgBdBSTcp
Hasta Luego - Bonus,JID,1,53,2Zyk0on2N9vZyHueREwoJC
can't leave without it,21 Savage,1,69,0hPLZrnDgtKxrym1BHjDhd
Acid Dreams,MAX,0,64,3XEdqQtGHAM5huMrs3RaKN
Garden Shed (feat. Estelle),"Tyler, The Creator",1,62,6ACiYjq5Q7e6BlhZEHz7cd
SAN MARCOS,BROCKHAMPTON,1,56,1Bn8jBSmtSQdvAFXU3ok1w
Mindfucker,Sheck Wes,1,47,3Ahh4FUw5EfmjMzOBjjnwY
Faucet Failure,Ski Mask The Slump God,1,79,1ThmUihH9dF8EV08ku5AXN
Gloria,Tierra Whack,1,48,4I5uWfaZIrkKCHrbO7eLMV
Light,San Holo,0,67,6jq6rcOikCZAmjliAgAmfT
Z4L (with Bari & Jay2),Smino,1,67,3X6YJcqTinaNraRvojF62K
Modern Slavery,Huncho Jack,1,60,7J6bnDDitOwfelaJNixHhL
Show Me,Big Wild,0,58,3y8fG2oGK5sx7liKZ9oyx7
Self Control,Frank Ocean,0,73,5GUYJTQap5F3RDQiCOJhrS
Slick Talk,JID,1,54,7j8vHxTp34MEoSDLG51sWo
How U Feel,Huncho Jack,1,57,7CWiWkccuRRdrmaW6AjVEf
Redbone,Childish Gambino,1,80,0wXuerDYiBnERgIpbb3JBR
Park,Isaiah Rashad,1,52,5hqh0JUxRShhqdaxu7wlz5
Motorcycle Patches,Huncho Jack,1,64,7g7raxdQpiLZT7aOlib4S1
Don't Let Me Down - Illenium Remix,The Chainsmokers,0,64,15BlympuVSfZFROojEMY2M
Wormhole,Flume,0,45,0A2pSv44QouqvTdFyVpWoT
Mamacita,Travis Scott,1,67,3SEd8nPd8MpGwk6ZZ8tk2j
